Test
gimana
tidak
dengan
seperti
sekarang
dari
sayang
gabisa
gadapat
gitu
tetap
tapi
jadi
kenapa
sama
ada
lewat
orang
kamis
tersebut
harus
juga
jangan
kamu
nanti
bikin
terus
yang 
bisa
boleh 
pendekatan
banget
